IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
9327,봉평고향막국수,분식,시흥시,목감동,경기도 시흥시 물왕수변로 22,126.8310567,37.38192461
9328,벨라,이/미용/건강,시흥시,장곡동,경기도 시흥시 장곡로 35,126.7849296,37.37917998
9329,청솔감자탕,한식,시흥시,대야동,경기도 시흥시 복지로43번길 28,126.7863941,37.44450304
9330,여의포차,유흥주점,시흥시,정왕본동,경기도 시흥시 군서로18번길 17-1,126.7506717,37.34585349
9331,톡톡,한식,시흥시,능곡동,경기도 시흥시 승지로 36,126.8097105,37.36724071
9332,맥콜,유흥주점,시흥시,정왕2동,경기도 시흥시 중심상가로 73,126.725971,37.35092427
9333,덕수궁모텔,모텔/여관/여인숙,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9334,세원F&B,음/식료품소매,시흥시,과림동,경기도 시흥시 가재골1길 7,126.8242191,37.45457166
9335,김밥천국,분식,시흥시,연성동,경기도 시흥시 시청로68번길 30,126.8022269,37.38206862
9336,아까이,일식/수산물,시흥시,정왕4동,경기도 시흥시 함송로 18,126.7299238,37.36350942
9337,광명생숯불갈비,한식,시흥시,신천동,경기도 시흥시 수인로3335번길 16,126.787064,37.43800438
9338,서진종합상사,가정/주방/인테리어,시흥시,정왕2동,경기도 시흥시 공단1대로 204,126.7246935,37.33770106
9339,장터국밥,한식,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9340,SK네트웍스파원디젤주유,주유소/충전소,시흥시,정왕3동,경기도 시흥시 옥구천서로 337,126.7245491,37.35290928
9341,해피트리세탁편의점,세탁/가사서비스,시흥시,능곡동,경기도 시흥시 능곡로 122,126.8160196,37.36518655
9342,가나,이/미용/건강,시흥시,정왕1동,경기도 시흥시 중심상가로 195,126.7368275,37.34427379
9343,능곡세탁,세탁/가사서비스,시흥시,능곡동,경기도 시흥시 승지로 89,126.8102889,37.3720762
9344,OK아시아매점,종합소매점,시흥시,정왕2동,경기도 시흥시 희망공원로 116,126.7150416,37.33326255
9345,아리따움,화장품소매,시흥시,정왕2동,경기도 시흥시 서촌상가2길 26,126.7325409,37.34616521
9346,계림촌치킨,닭/오리요리,시흥시,정왕4동,경기도 시흥시 함송로 21,126.730687,37.36376991
9347,군자열쇠,철물/난방/건설자재소매,시흥시,군자동,경기도 시흥시 군자로492번길 13,126.7830165,37.34523555
9348,보라수산,일식/수산물,시흥시,정왕3동,경기도 시흥시 오이도로 167,126.6881916,37.34587092
9349,경희대힘찬태권도,학원-예능취미체육,시흥시,정왕4동,경기도 시흥시 함송로 23,126.7310076,37.36350303
9350,고기마루,음/식료품소매,시흥시,능곡동,경기도 시흥시 장현능곡로 198,126.8119847,37.36906569
9351,박가네철판요리칼국수,한식,시흥시,정왕4동,경기도 시흥시 봉화로 18,126.7356403,37.367283
9352,승연매점식당,한식,시흥시,정왕3동,경기도 시흥시 옥구천서로31번길 34,126.7008496,37.33305349
9353,디자이너헤어,이/미용/건강,시흥시,정왕2동,경기도 시흥시 서촌상가2길 16,126.7331179,37.34675707
9354,S슈퍼,종합소매점,시흥시,정왕2동,경기도 시흥시 옥구공원로 189,126.7325088,37.34472317
9355,강정화의건강약속,종합소매점,시흥시,정왕1동,경기도 시흥시 중심상가로 178,126.734841,37.34495538
9356,세반한우정육점,음/식료품소매,시흥시,정왕1동,경기도 시흥시 중심상가로 286,126.743171,37.33948467
9357,참스큐,닭/오리요리,시흥시,정왕본동,경기도 시흥시 죽율로 38,126.7612681,37.34799231
9358,9제9경,의복의류,시흥시,정왕1동,경기도 시흥시 중심상가3길 25,126.7359542,37.34385899
9359,CMBCORP,자동차/이륜차,시흥시,정왕2동,경기도 시흥시 정왕대로117번길 10,126.7294724,37.35211528
